neuron_id,soma_x,soma_y,soma_z,celltype,column,intersomatic_distance
164642,138.416,-609.558,-804.13,8,17,913.3776040417238
164648,150.595,-600.629,-805.301,7,17,909.1656651314985
164649,160.123,-587.982,-799.293,7,17,898.9287919835475
164656,184.568,-608.617,-799.478,8,17,925.5725525543634
164661,209.05,-608.391,-836.433,7,17,944.5926532685927
164669,275.077,-595.96,-813.433,8,17,952.451824031536
164689,378.193,-618.325,-813.708,7,17,1018.6223281251006
164706,477.759,-608.062,-812.004,7,18,1062.7600250959763
164707,454.834,-580.145,-809.095,7,17,1027.1566629784377
164818,1017.27,-584.856,-793.594,7,19,1422.193555945533
165076,-172.137,-554.268,-807.606,8,16,824.5930462197701
165108,-64.564,-557.568,-804.306,7,16,827.4628185441325
165110,-30.833,-563.034,-817.806,7,16,840.0380724740992
165116,-18.599,-522.557,-790.838,7,16,794.9020267498379
165121,19.006,-569.617,-826.698,8,16,856.0649607629084
165130,90.192,-523.278,-804.036,8,17,821.273896605146
165138,125.665,-532.39,-816.369,7,17,843.3653758561587
165145,103.471,-526.27,-830.741,8,17,836.3244145527499
165155,167.796,-562.707,-803.295,7,17,879.8070240234501
165159,209.041,-567.848,-819.539,8,17,903.700989115869
165175,244.723,-534.739,-822.372,7,17,889.8654643231189
165178,268.754,-541.035,-808.477,7,17,901.2569294984644
165184,322.272,-547.965,-826.264,7,17,936.8027485282054
165233,590.618,-559.031,-831.956,7,18,1099.9265870584272
165234,572.16,-563.542,-834.379,7,18,1091.9167834317777
165238,640.491,-530.658,-790.785,7,18,1103.6027768291451
165285,803.272,-527.134,-797.196,7,18,1221.2077009178252
165295,890.893,-548.321,-803.262,7,18,1302.7098507353815
165314,981.054,-558.61,-827.742,7,19,1384.7652959288803
165317,945.578,-547.676,-797.527,7,19,1344.304697212652
165578,-312.252,-508.739,-799.304,8,16,799.812828895611
165602,-232.972,-472.934,-817.081,8,16,757.8064292944473
165625,-113.172,-480.108,-808.983,8,16,753.884332146517
165631,-122.993,-501.263,-827.087,7,16,780.0232727874213
165642,-91.6,-500.705,-788.523,7,16,767.0626979387017
165647,-22.824,-485.838,-796.635,8,16,761.76049402683
165673,135.904,-499.724,-809.821,8,17,815.1748762787038
165674,104.312,-502.761,-808.828,8,17,808.0523279008606
165683,109.414,-516.96,-807.708,8,17,821.9531544200071
165701,208.204,-517.891,-794.314,8,17,852.102917404934
165705,244.242,-479.944,-813.854,7,17,840.538596542122
165725,388.42,-497.284,-835.029,7,17,932.863927408494
165727,436.331,-486.79,-837.174,7,17,952.8168466594198
